Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
user_id,users,,text,User ID,,,,,,,,,,,,,
portal_username,users,,text,Username,,,,,,,,,,,,,
portal_password,users,,text,Encrypted Password,,,,,,,,,,,,,
portal_email,users,,text,Email,,,email,,,,,,,,,,
portal_active,users,,checkbox,User Account Active,"1, Active (can log in)","If checked, user can use site even if other requirements are not met.",,,,,,,RH,,,,
portal_suspended,users,,checkbox,User Access Suspended,"1, Suspended","If checked, user can only access profile page",,,,,,,RH,,,,
portal_email_verified,users,Email Verification,checkbox,Email Address Verified,"1, Verified [portal_email_act_ts]",,,,,,,,,,,,
portal_email_verified_ts,users,,text,Email Verified Timestamp,,,datetime_seconds_ymd,,,,,,RH,,,,
portal_email_act_token,users,Email Activation,text,Email Activation Token,,,,,,,,,,,,,
portal_email_act_sent_ts,users,,text,Email Activation Sent Timestamp,,When email was last sent,datetime_seconds_ymd,,,,,,RH,,,,
portal_pass_reset_req_ts,users,Password Reset,text,Password Reset Requested Timestamp,,"If not empty, password reset was sent",datetime_seconds_ymd,,,,,,RH,,,,
portal_pass_reset_token,users,,text,Password Reset Token,,,,,,,,,,,,,
portal_pass_reset_question,users,,text,Password Reset Security Question,,,,,,,,,,,,,
portal_pass_reset_answer,users,,text,Password Reset Security Answer,,,,,,,,,,,,,
portal_pass_reset_q2,users,,text,Password Reset Security Question #2,,,,,,,,,,,,,
portal_pass_reset_a2,users,,text,Password Reset Security Answer,,,,,,,,,,,,,
portal_pass_reset_q3,users,,text,Password Reset Security Question #3,,,,,,,,,,,,,
portal_pass_reset_a3,users,,text,Password Reset Security Answer,,,,,,,,,,,,,
portal_consent_ts,users,Logging,text,Date Redirected To Consent Timestamp,,,datetime_seconds_ymd,,,,,,,,,,
portal_created_ts,users,,text,Date User Created Timestamp,,,datetime_seconds_ymd,,,,,,,,,,
portal_last_login_ts,users,,text,Last Login Timestamp,,,datetime_seconds_ymd,,,,,,,,,,
portal_log,users,,notes,Activity Log,,(click on History icon for details),,,,,,,,,,,
